smiles,T(K),Tr
CCOC(=O)C,209.304,0.4
CCOC(=O)C,235.467,0.45
CCOC(=O)C,261.63,0.5
CCOC(=O)C,287.793,0.55
CCOC(=O)C,313.956,0.6
CCOC(=O)C,340.119,0.65
CCOC(=O)C,366.282,0.7
CCOC(=O)C,392.445,0.75
CCOC(=O)C,418.608,0.8
CCOC(=O)C,444.771,0.85
CCOC(=O)C,470.934,0.9
CCOC(=O)C,497.097,0.95
CCOC(=O)C,518.0274,1
C1=CC=C2C=CC=CC2=C1,299.3328,0.4
C1=CC=C2C=CC=CC2=C1,336.7494,0.45
C1=CC=C2C=CC=CC2=C1,374.166,0.5
C1=CC=C2C=CC=CC2=C1,411.5826,0.55
C1=CC=C2C=CC=CC2=C1,448.9992,0.6
C1=CC=C2C=CC=CC2=C1,486.4158,0.65
C1=CC=C2C=CC=CC2=C1,523.8324,0.7
C1=CC=C2C=CC=CC2=C1,561.249,0.75
C1=CC=C2C=CC=CC2=C1,598.6656,0.8
C1=CC=C2C=CC=CC2=C1,636.0822,0.85
C1=CC=C2C=CC=CC2=C1,673.4988,0.9
C1=CC=C2C=CC=CC2=C1,710.9154,0.95
C1=CC=C2C=CC=CC2=C1,740.84868,1
CCCC=O,214.88,0.4
CCCC=O,241.74,0.45
CCCC=O,268.6,0.5
CCCC=O,295.46,0.55
CCCC=O,322.32,0.6
CCCC=O,349.18,0.65
CCCC=O,376.04,0.7
CCCC=O,402.9,0.75
CCCC=O,429.76,0.8
CCCC=O,456.62,0.85
CCCC=O,483.48,0.9
CCCC=O,510.34,0.95
CCCC=O,531.828,1
